test_number,compressor_name,shuffle,level,trunc,bytes_read,compress_time,bytes_written,shape,chunk_shape,chunk_size,read_time,read_bps,compress_bps,storage_ratio
0,blosc-zstd,1,1,0,2147483648,14.260811693966389,314181654,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.698463874054141,200728223.5357233,150586354.69596583,6.835165645922788
1,blosc-zstd,0,1,0,2147483648,9.238134333048947,421836576,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.091917220968753,212792435.86520982,232458586.3963342,5.090795275182586
2,blosc-zstd,1,3,0,2147483648,8.434947370900773,313826136,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.498484745970927,226086971.28359562,254593603.67896035,6.842908864671488
3,blosc-zstd,0,3,0,2147483648,10.67598582408391,404474393,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.726395991980098,220789247.0932407,201150852.3321098,5.309319168692095
4,blosc-zstd,1,5,0,2147483648,18.17124632606283,295453813,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.553649661014788,224781494.4233463,118180316.82944536,7.2684242122135005
5,blosc-zstd,0,5,0,2147483648,23.604943507001735,365347548,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.53285052406136,225271931.26333526,90976013.02722923,5.877919968960624
6,blosc-zstd,1,7,0,2147483648,33.49647603102494,280496565,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.733832212048583,220620573.81077874,64110733.49957674,7.6560069389798056
7,blosc-zstd,0,7,0,2147483648,61.06622440810315,324049349,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.579950768966228,224164372.00874415,35166471.626744956,6.62702657674526
8,blosc-zstd,1,9,0,2147483648,83.97841288696509,256113234,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.740084432065487,220478956.1094804,25571853.22007112,8.384899188770541
9,blosc-zstd,0,9,0,2147483648,180.23230957600754,278153972,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.011792627046816,214495418.35281146,11915086.995511,7.720485285753892
10,blosc-blosclz,1,1,0,2147483648,17.819825742044486,1079729045,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.138071655994281,211823680.17001235,120510923.0071302,1.9889097713399013
11,blosc-blosclz,0,1,0,2147483648,32.92990031291265,2109928992,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.95227744791191,215778113.0238249,65213791.34445533,1.0177990141575342
12,blosc-blosclz,1,3,0,2147483648,17.62635057605803,1079311794,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.602050923975185,223648433.5485024,121833707.9325393,1.9896786636985457
13,blosc-blosclz,0,3,0,2147483648,32.57337456801906,2108360099,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.566431557992473,224481159.4565625,65927576.63212536,1.0185563884549687
14,blosc-blosclz,1,5,0,2147483648,16.799791065976024,1079081715,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.607249224092811,223527421.62809682,127827997.35820624,1.9901028978143698
15,blosc-blosclz,0,5,0,2147483648,32.258516947040334,2066912509,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.540861613932066,225082779.19723016,66571059.40504274,1.0389813979300853
16,blosc-blosclz,1,7,0,2147483648,17.0081647640327,1073447974,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.587143398006447,223996195.6182431,126261926.42143853,2.0005474881077
17,blosc-blosclz,0,7,0,2147483648,31.509239144972526,1847020446,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.537786046974361,225155359.6844667,68154094.04586156,1.162674540312046
