test_number,compressor_name,shuffle,level,trunc,bytes_read,compress_time,bytes_written,shape,chunk_shape,chunk_size,read_time,read_bps,compress_bps,storage_ratio
18,blosc-blosclz,1,9,0,2147483648,12.146528677083552,656987425,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.696171391988173,221477484.37846708,176798137.56596857,3.2686830314902906
19,blosc-blosclz,0,9,0,2147483648,17.29254456900526,997225106,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.597479248070158,223754966.53788668,124185520.495873,2.1534592692053622
20,blosc-lz4,1,1,0,2147483648,11.560912735993043,714715010,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.591205114964396,223901336.9289175,185753815.20821926,3.0046712577087193
21,blosc-lz4,0,1,0,2147483648,20.98926310695242,1212365800,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.494261590996757,226187537.32638052,102313436.97286227,1.7713165844830001
22,blosc-lz4,1,3,0,2147483648,11.98054969299119,708820613,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.522811635048129,225509411.537273,179247505.58451518,3.0296574459241916
23,blosc-lz4,0,3,0,2147483648,20.859558676020242,1210169435,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.757307569030672,220089777.10367894,102949620.42838936,1.774531388656333
24,blosc-lz4,1,5,0,2147483648,10.562952026957646,597091931,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.442633772967383,227424222.90567616,203303360.88996902,3.5965712087306705
25,blosc-lz4,0,5,0,2147483648,14.748906810069457,890496123,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.735201498959213,220589542.82862934,145602903.02558953,2.411558672221193
26,blosc-lz4,1,7,0,2147483648,10.374245886923745,591873675,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.675364764058031,221953766.12336677,207001421.7329091,3.628280389392213
27,blosc-lz4,0,7,0,2147483648,14.179573574918322,888360300,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.606232805992477,223551072.6598647,151449099.41428685,2.417356615328263
28,blosc-lz4,1,9,0,2147483648,10.074286530958489,589289896,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.542172719957307,225051852.5522569,213164837.17241302,3.644188815346666
29,blosc-lz4,0,9,0,2147483648,15.06145301507786,887646371,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.867855926975608,217624138.80906555,142581439.24428654,2.4193008817021346
30,blosc-lz4hc,1,1,0,2147483648,12.104294974938966,593766688,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.690367992036045,221610123.55412024,177415012.80712372,3.6167129133387825
31,blosc-lz4hc,0,1,0,2147483648,16.3589291049866,851786337,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.468417883035727,226804908.11961102,131272874.53953172,2.5211529637390746
32,blosc-lz4hc,1,3,0,2147483648,11.877967261010781,542710075,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.654440721031278,222434805.91495183,180795552.03431797,3.9569629290556287
33,blosc-lz4hc,0,3,0,2147483648,16.469067463069223,762131494,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.111619509989396,212377814.0463527,130394975.4784591,2.817733770230469
34,blosc-lz4hc,1,5,0,2147483648,14.779156739008613,467882081,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.692907737917267,221552057.0364403,145304883.48715174,4.589796735558249
35,blosc-lz4hc,0,5,0,2147483648,19.850129005964845,630635658,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.804233978036791,219036352.33621934,108184871.10863078,3.4052683522694176
36,blosc-lz4hc,1,7,0,2147483648,26.446508359047584,418025840,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.546592036029324,224947671.36746678,81201027.328257,5.1372031164389265
37,blosc-lz4hc,0,7,0,2147483648,35.28261721204035,544473755,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.54340974893421,225022681.04330605,60865202.68873823,3.944145384932282
38,blosc-lz4hc,1,9,0,2147483648,60.830858604982495,387585646,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.903318444965407,216844854.57414788,35302537.18667889,5.54066867584668
39,blosc-lz4hc,0,9,0,2147483648,88.87918969697785,490676721,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.67535565700382,221953975.0402327,24161827.479768537,4.376575362335154
40,blosc-zlib,1,1,0,2147483648,9.265993191045709,352524520,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.9029156640172,216853674.29745993,231759683.36294955,6.091728450548631
41,blosc-zlib,0,1,0,2147483648,11.419288952019997,471188935,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.69939068495296,221403974.51269537,188057562.6926512,4.557585054496239
42,blosc-zlib,1,3,0,2147483648,13.529453051043674,328650437,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.795867742039263,219223422.01334637,158726567.87366146,6.534248570008748
43,blosc-zlib,0,3,0,2147483648,15.681034125969745,407554521,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.61682308500167,223304892.79242337,136947833.33476073,5.269193536930486
44,blosc-zlib,1,5,0,2147483648,18.458015408017673,309360402,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.888561600935645,217168455.29857522,116344233.14367752,6.941688833207555
45,blosc-zlib,0,5,0,2147483648,18.928467786987312,375866235,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.6864453520393,221699867.18067712,113452587.50823578,5.7134252774793675
46,blosc-zlib,1,7,0,2147483648,53.81390781502705,294911061,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.655133812921122,222418838.47597215,39905736.92179133,7.281800963036785
47,blosc-zlib,0,7,0,2147483648,54.049697858979926,346431200,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.750531651079655,220242723.6634029,39731649.44608867,6.1988748357538235
48,blosc-zlib,1,9,0,2147483648,411.4195990789449,282483109,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.13268385909032,211936312.02392948,5219692.141083274,7.602166570603695
49,blosc-zlib,0,9,0,2147483648,695.7971541159786,322921767,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.636883234023117,201890309.47816202,3086364.5177284637,6.650166905596054
50,blosc-zstd,1,1,0,2147483648,8.237365105072968,345045732,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.998745316057466,195248056.60012975,260700311.3990268,6.223765283379885
51,blosc-zstd,0,1,0,2147483648,13.290788361919113,457659381,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.084694323013537,212944842.86939526,161576844.76813954,4.692318648221918
52,blosc-zstd,1,3,0,2147483648,9.07957720500417,346229321,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.24712760397233,232232509.3770195,236518022.75731775,6.202489268665954
53,blosc-zstd,0,3,0,2147483648,10.961490166955628,441726205,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.241640317020938,232370399.01291525,195911652.09213775,4.861571769327111
54,blosc-zstd,1,5,0,2147483648,19.21501280704979,329724816,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.315005694981664,230540239.94391418,111760719.05672166,6.512957301945996
55,blosc-zstd,0,5,0,2147483648,24.50588781503029,404341918,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.199856646941043,233425772.85854116,87631334.32296525,5.311058666937421
56,blosc-zstd,1,7,0,2147483648,33.204580049961805,314692625,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.339690142078325,229930930.82659045,64674320.372935124,6.824067287881309
57,blosc-zstd,0,7,0,2147483648,62.8103975080885,360021987,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.507498370017856,225872628.57411006,34189938.81902204,5.964868051239326
58,blosc-zstd,1,9,0,2147483648,97.53614034107886,293928950,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.240808377973735,232391319.04506457,22017312.15209419,7.3061317981777565
59,blosc-zstd,0,9,0,2147483648,176.8824054079596,313749319,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.381939603947103,228895488.42294037,12140741.99775307,6.844584252308768
60,blosc-blosclz,1,1,0,2147483648,17.486550650093704,1082979974,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.719173706951551,220953314.83416453,122807733.26719482,1.982939389052821
61,blosc-blosclz,0,1,0,2147483648,32.71831270400435,2147484564,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.3824938259786,228881967.6122746,65635525.506092876,0.9999995734544428
62,blosc-blosclz,1,3,0,2147483648,17.138995975023136,1082461659,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.482826131978072,226460299.7157394,125298100.95816311,1.9838888797076553
63,blosc-blosclz,0,3,0,2147483648,32.616473373025656,2147484564,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.28382962802425,231314418.0842771,65840461.151020795,0.9999995734544428
64,blosc-blosclz,1,5,0,2147483648,17.526715895044617,1082182043,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.24322934600059,232330451.57850432,122526299.89895396,1.984401480223046
65,blosc-blosclz,0,5,0,2147483648,31.072056735982187,2147484564,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.631477374001406,222965134.48671746,69113019.01406361,0.9999995734544428
66,blosc-blosclz,1,7,0,2147483648,16.932491495041177,1081986001,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.236010300926864,232512045.57280463,126826205.61946887,1.9847610283453196
67,blosc-blosclz,0,7,0,2147483648,34.437003487953916,1953970854,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.447748137987219,227301110.97748923,62359770.90025243,1.0990356604367242
68,blosc-blosclz,1,9,0,2147483648,12.11525785899721,703009845,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.341629519010894,229883195.82035607,177254473.07794642,3.054699252469217
69,blosc-blosclz,0,9,0,2147483648,18.64771542500239,1058162401,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.476537468028255,226610579.57562408,115160683.17520054,2.02944618517021
70,blosc-lz4,1,1,0,2147483648,11.998445254052058,747320543,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.213515030103736,233079735.69082257,178980159.7231743,2.873577701181968
71,blosc-lz4,0,1,0,2147483648,21.885085685062222,1281538043,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.157055368996225,234516835.53982943,98125439.34729832,1.6757080757219471
72,blosc-lz4,1,3,0,2147483648,11.849401690997183,738003835,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.239103061030619,232434212.91162097,181231399.18799385,2.909854320743469
73,blosc-lz4,0,3,0,2147483648,21.745861248928122,1278044726,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.222044738009572,232864154.20963347,98753671.94784488,1.6802883375773188
74,blosc-lz4,1,5,0,2147483648,10.492754573002458,633159211,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.342818893957883,229853930.85044217,204663478.31344602,3.391696133754895
75,blosc-lz4,0,5,0,2147483648,15.001694998936728,930581546,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.379814489977434,228947347.55091795,143149400.66120574,2.3076791681832898
76,blosc-lz4,1,7,0,2147483648,10.585886184941046,623915173,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.428303510998376,227769889.4074529,202862907.31662157,3.441948105980747
77,blosc-lz4,0,7,0,2147483648,13.875249300035648,926665407,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.342755694990046,229855485.69482186,154770815.3967715,2.3174315473287113
78,blosc-lz4,1,9,0,2147483648,10.026490035001189,618204301,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.254361814004369,232050971.33227193,214180998.58508915,3.4737442695339644
79,blosc-lz4,0,9,0,2147483648,14.528606216073968,924974660,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.525310692959465,225450246.94966543,147810713.29637218,2.3216675449249604
80,blosc-lz4hc,1,1,0,2147483648,12.187615193077363,628838914,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.24157465796452,232372049.94597626,176202121.08598435,3.4149980228481853
81,blosc-lz4hc,0,1,0,2147483648,16.88134842494037,911000969,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.368779798969626,229217005.21087912,127210433.3103702,2.357279213827049
82,blosc-lz4hc,1,3,0,2147483648,12.729314757976681,576111732,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.530824822955765,225319811.02282053,168703790.33202112,3.727547155731243
83,blosc-lz4hc,0,3,0,2147483648,16.60813250008505,817589648,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.329863089020364,230173114.8152878,129303137.96503027,2.6266032761706395
84,blosc-lz4hc,1,5,0,2147483648,16.207984007080086,502021235,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.34255460894201,229860433.02809125,132495419.9770879,4.277674923452192
85,blosc-lz4hc,0,5,0,2147483648,20.357517646974884,678740314,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.289758075028658,231166800.10995606,105488482.69421075,3.1639252947040952
86,blosc-lz4hc,1,7,0,2147483648,27.94216197601054,453716524,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.336190936970524,230017108.95780277,76854598.7903048,4.73309552199602
87,blosc-lz4hc,0,7,0,2147483648,35.51445795001928,585952115,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.417777686961927,228024457.50795326,60467870.60701385,3.664947344716044
88,blosc-lz4hc,1,9,0,2147483648,58.80826975905802,425473433,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.428548534982838,227763970.24761236,36516694.96141282,5.047280232888243
89,blosc-lz4hc,0,9,0,2147483648,91.05497001798358,529918284,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.449569755000994,227257293.57820633,23584474.824118517,4.052480755693268
90,blosc-zlib,1,1,0,2147483648,9.666674613021314,386429081,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.539423984009773,225116700.0858403,222153298.2094248,5.557251650012335
91,blosc-zlib,0,1,0,2147483648,11.662510857917368,516715670,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.351031268015504,229652065.79356712,184135618.32117227,4.156025784935069
92,blosc-zlib,1,3,0,2147483648,13.609397060936317,362430490,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.311556285014376,230625642.1878767,157794179.88795564,5.925228994944658
93,blosc-zlib,0,3,0,2147483648,16.18184639106039,445743411,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.184167784987949,233824522.62143835,132709432.29237244,4.817757469891125
94,blosc-zlib,1,5,0,2147483648,18.776751830941066,345765353,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.345455404021777,229789085.19277075,114369283.21443182,6.210812128420513
95,blosc-zlib,0,5,0,2147483648,20.003078473033383,420536687,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.332797681097873,230100739.49737424,107357657.51732029,5.1065310456492945
96,blosc-zlib,1,7,0,2147483648,57.65764207101893,330639437,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.362403114908375,229373123.72081262,37245429.58858549,6.494941037538725
97,blosc-zlib,0,7,0,2147483648,56.117403888027184,388269491,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.547959460993297,224915455.15805867,38267694.14146352,5.530910096667884
98,blosc-zlib,1,9,0,2147483648,349.19953979202546,318361654,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.814148542005569,218815074.86956698,6149732.182576723,6.745421821435819
99,blosc-zlib,0,9,0,2147483648,674.3942449319875,364977063,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.164810945047066,211266462.26965874,3184314.907990612,5.883886593717261
100,blosc-zstd,1,1,0,2147483648,7.834237803006545,370589903,"(1024, 1024, 1024)","(512, 256, 256)",64.0,10.656576607958414,201517215.80045158,274115198.18505645,5.794771068007215
101,blosc-zstd,0,1,0,2147483648,9.676512519014068,479336567,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.746347352978773,220337278.18490535,221927439.6411162,4.48011646897784
102,blosc-zstd,1,3,0,2147483648,9.480568346916698,368244796,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.409865210065618,228216196.5192512,226514230.94253752,5.831674123644642
103,blosc-zstd,0,3,0,2147483648,11.629694137023762,464546666,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.280695770983584,231392527.13295287,184655213.0002602,4.622751179103285
104,blosc-zstd,1,5,0,2147483648,19.61596666800324,350684966,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.33538492792286,230036968.4357321,109476310.00530232,6.123683237678344
105,blosc-zstd,0,5,0,2147483648,25.40201852505561,427593380,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.720671243965626,220919275.439246,84539881.97362354,5.022256537273799
106,blosc-zstd,1,7,0,2147483648,33.64829856401775,335776190,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.83361066202633,218382008.58335444,63821463.18377119,6.395580484727044
107,blosc-zstd,0,7,0,2147483648,68.14477460610215,381010255,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.598916115006432,223721472.53612718,31513548.33020021,5.636288314601926
108,blosc-zstd,1,9,0,2147483648,135.21865376189817,315777224,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.61873609595932,223260481.06280035,15881563.587975292,6.800628686253826
109,blosc-zstd,0,9,0,2147483648,184.22698666795623,335763365,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.721130038960837,220908849.0117102,11656726.774077587,6.395824773795676
110,blosc-blosclz,1,1,0,2147483648,16.60933791194111,1095537588,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.942537843016908,215989486.9807586,129293753.87420404,1.9602099202460226
111,blosc-blosclz,0,1,0,2147483648,31.162909992970526,2147484564,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.675967189017683,221939947.2992648,68911524.90202011,0.9999995734544428
112,blosc-blosclz,1,3,0,2147483648,16.47498976602219,1094790127,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.496381151955575,226137053.01390225,130348102.09284276,1.9615482411086815
113,blosc-blosclz,0,3,0,2147483648,31.73617180204019,2147484564,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.51493489695713,225696094.74540535,67666751.40893796,0.9999995734544428
114,blosc-blosclz,1,5,0,2147483648,16.290185402031057,1094113548,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.353314462001435,229596006.4984791,131826838.98319857,1.962761225217915
115,blosc-blosclz,0,5,0,2147483648,30.486260966048576,2147484564,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.498648788081482,226083066.75098622,70441030.810291,0.9999995734544428
116,blosc-blosclz,1,7,0,2147483648,16.22965057194233,1093361796,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.399253964074887,228473840.1800769,132318538.74368374,1.9641107416195105
117,blosc-blosclz,0,7,0,2147483648,33.41042343899608,1969662932,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.886710805003531,217209109.31400838,64275858.45839636,1.0902797697570723
118,blosc-blosclz,1,9,0,2147483648,12.363072691019624,727246762,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.361589916050434,229393048.32378334,173701449.60483038,2.952895441011259
119,blosc-blosclz,0,9,0,2147483648,17.816073841997422,1078333149,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.721267502987757,220905725.24004585,120536301.49072385,1.9914844034902242
120,blosc-lz4,1,1,0,2147483648,12.454312701011077,771773143,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.860037386999466,217796704.38486102,172428916.7579405,2.7825322343459677
121,blosc-lz4,0,1,0,2147483648,21.573345893993974,1299985083,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.35890686698258,229458811.64563546,99543374.42843579,1.6519294537166624
122,blosc-lz4,1,3,0,2147483648,12.210942861973308,760324064,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.68673406005837,221693259.53262103,175865506.2327401,2.8244320411250325
123,blosc-lz4,0,3,0,2147483648,21.895743228960782,1294832009,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.735368654015474,220585755.3339024,98077677.72685577,1.6585036769816215
124,blosc-lz4,1,5,0,2147483648,10.568000024999492,670663580,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.6352706089383,222877357.07265508,203206249.33004797,3.202028128618524
125,blosc-lz4,0,5,0,2147483648,15.06489389098715,948963729,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.603263040073216,223620204.82400817,142548873.13111258,2.2629775853108502
126,blosc-lz4,1,7,0,2147483648,11.221665092976764,657147504,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.579450507997535,224176078.38854054,191369429.59953713,3.267886790908362
127,blosc-lz4,0,7,0,2147483648,14.33256639400497,942713565,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.350341256009415,229669013.05552068,149832457.70263797,2.277981062041894
128,blosc-lz4,1,9,0,2147483648,10.109874758054502,647432243,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.36147346207872,229395901.9057188,212414465.99416152,3.316924158811164
129,blosc-lz4,0,9,0,2147483648,13.678930804017,939166628,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.409331472939812,228229141.9083198,156992068.95390996,2.286584280122015
130,blosc-lz4hc,1,1,0,2147483648,12.21889723406639,648369693,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.246839169994928,232239753.3384565,175751019.65935168,3.312128360077435
131,blosc-lz4hc,0,1,0,2147483648,16.331253729993477,932113830,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.558469373965636,224668151.77010375,131495333.02859643,2.3038856187768397
132,blosc-lz4hc,1,3,0,2147483648,12.522842706064694,594332748,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.775573226972483,219678539.36940745,171485316.74521425,3.6132682495227404
133,blosc-lz4hc,0,3,0,2147483648,16.58039712603204,838870686,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.487875010934658,226339791.10444137,129519433.80344883,2.559969830677812
134,blosc-lz4hc,1,5,0,2147483648,16.640187458018772,521244336,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.423430035007186,227887684.21076968,129054053.83309819,4.119917473789106
135,blosc-lz4hc,0,5,0,2147483648,20.049286318011582,700569077,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.448573895031586,227281246.02266458,107110228.95966004,3.0653417607240465
136,blosc-lz4hc,1,7,0,2147483648,27.806197913945653,475074514,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.376388212898746,229031008.44798502,77230394.98769343,4.520309098290211
137,blosc-lz4hc,0,7,0,2147483648,37.30270041397307,607398084,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.663751904969104,222220486.32020068,57569120.30946646,3.535545640608244
138,blosc-lz4hc,1,9,0,2147483648,59.35468248196412,449642758,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.498934219009243,226076273.24152443,36180526.25675401,4.7759773949255955
139,blosc-lz4hc,0,9,0,2147483648,90.73227678600233,551251094,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.64290538802743,222700893.7229958,23668354.01987071,3.895654215245875
140,blosc-zlib,1,1,0,2147483648,10.23646234802436,412352027,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.841541014029644,218206035.51198405,209787676.1510743,5.207889151470086
141,blosc-zlib,0,1,0,2147483648,11.965418339008465,546314628,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.478607004042715,226561101.9724816,179474180.27157375,3.930855111571349
142,blosc-zlib,1,3,0,2147483648,14.282577908947133,386029472,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.436323569039814,227576304.7216614,150356865.6646177,5.5630043915403435
143,blosc-zlib,0,3,0,2147483648,16.94343016098719,471189357,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.541274925111793,225073029.00873473,126744326.71518028,4.557580972695867
144,blosc-zlib,1,5,0,2147483648,18.974550376995467,368952492,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.357408468029462,229495554.81489307,113177050.59317692,5.8204882595019845
145,blosc-zlib,0,5,0,2147483648,21.083770622033626,448193683,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.391447322093882,228663759.09365216,101854819.35360125,4.791418820599486
146,blosc-zlib,1,7,0,2147483648,56.24424372694921,353020031,"(1024, 1024, 1024)","(512, 256, 256)",64.0,9.544378882041201,224999832.31394204,38181394.320554115,6.083177891965003
